Provider,PTR,Provider Domain,PTR PCRE Regex,Verification URL
Amazon Web Services (AWS),ec2-54-153-82-85.us-west-1.compute.amazonaws.com,amazonaws.com,"^ec2-\d{1,3}-\d{1,3}-\d{1,3}-\d{1,3}\.[a-z0-9-]+\.compute\.amazonaws\.com$",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/configure-reverse-dns.html
Amazon Web Services (AWS),ec2-34-231-255-33.compute-1.amazonaws.com,amazonaws.com,"^ec2-\d{1,3}-\d{1,3}-\d{1,3}-\d{1,3}\.compute-1\.amazonaws\.com$",https://docs.aws.amazon.com/AWSEC2/latest/UserGuide/configure-reverse-dns.html
Google Cloud Platform (GCP),203-0-113-25.bc.googleusercontent.com,googleusercontent.com,"^\d{1,3}-\d{1,3}-\d{1,3}-\d{1,3}\.bc\.googleusercontent\.com$",https://cloud.google.com/compute/docs/ip-addresses/reverse-dns
Microsoft Azure,myvm.westus.cloudapp.azure.com,azure.com,^[\w-]+\.[\w-]+\.cloudapp\.azure\.com$,https://learn.microsoft.com/azure/dns/dns-reverse-dns
Linode,203-0-113-25.ip.linodeusercontent.com,linodeusercontent.com,"^\d{1,3}-\d{1,3}-\d{1,3}-\d{1,3}\.ip\.linodeusercontent\.com$",https://www.linode.com/docs/platform/manager/guides/configure-reverse-dns/
Linode,li1726-108.members.linode.com,linode.com,^li\d+-\d+\.members\.linode\.com$,https://www.linode.com/docs/platform/manager/guides/configure-reverse-dns/
Vultr,149.248.21.89.vultrusercontent.com,vultrusercontent.com,"^\d{1,3}\.\d{1,3}\.\d{1,3}\.\d{1,3}\.vultrusercontent\.com$",https://www.vultr.com/docs/manage-reverse-dns-records/
Scaleway,dfa75d97-42d1-491a-96b2-1d82b95c5d15.pub.instances.scw.cloud,scw.cloud,^[a-f0-9-]+\.pub\.instances\.scw\.cloud$,https://www.scaleway.com/en/docs/setup-reverse-dns/
Hetzner,203-0-113-25-static.hetzner.de,hetzner.de,"^\d{1,3}-\d{1,3}-\d{1,3}-\d{1,3}-static\.hetzner\.de$",https://docs.hetzner.com/cloud/networking/reverse-dns/
Hetzner,server203-0-113-25.customers.your-server.de,hetzner.de,"^server\d{1,3}-\d{1,3}-\d{1,3}-\d{1,3}\.customers\.your-server\.de$",https://docs.hetzner.com/cloud/networking/reverse-dns/
